"","GEOID","Probs","geometry"
"1","06037101210",0.0112443074636757,list(list(c(156587.100044127, 157361.237670515, 157702.956752947, 157832.70187188, 157839.872952851, 157848.501857852, 157694.694664631, 157599.061800915, 157460.91602615, 157356.895639552, 157032.162720999, 156731.073933623, 156587.100044127, -416364.973688706, -416356.711929707, -416353.097301928, -416351.75104325, -416753.446718827, -417225.580568292, -417211.15988481, -417163.949030421, -417083.214257848, -416989.544523105, -416761.133626319, -416525.183830782, -416364.973688706)))
"2","06037102103",0.00471620689754569,list(list(c(150574.096660584, 151924.994291441, 152603.456958059, 152375.983563791, 151985.197153867, 151650.738674537, 151484.459061313, 151413.521993238, 151253.186914367, 151106.821832279, 151149.253791461, 150906.295541184, 150574.096660584, -419497.414240608, -419496.208743329, -419775.998291152, -420077.359790373, -420287.348151412, -420287.836169121, -420443.743508444, -420492.244942955, -420348.10512289, -420281.50739028, -420188.449726724, -419906.470880806, -419497.414240608)))
"3","06037104105",0.0176288026315792,list(list(c(146220.552073783, 146816.300525696, 147114.101775897, 147203.330321633, 147431.570378288, 147507.449039296, 147409.803902528, 147112.00206026, 146992.839296716, 146516.432785709, 146220.552073783, -414579.729735158, -414038.28824776, -413767.607516386, -413686.536178815, -413937.362776071, -414003.440159312, -414093.201320033, -414364.002266051, -414472.320235308, -414905.459214618, -414579.729735158)))
"4","06037104404",0.00231252700128295,list(list(c(144071.348073057, 144518.082593907, 144979.106607195, 145274.863802555, 144962.799583374, 144814.016440976, 144664.956139912, 144367.097788338, 144071.348073057, -415938.894433751, -415532.908789402, -415113.788267653, -415439.448845699, -415723.17014946, -415858.358790266, -415993.77118476, -416264.583274022, -415938.894433751)))
"5","06037104810",0.00481489950073249,list(list(c(145552.070934744, 145850.013842051, 146181.690730032, 146477.79292869, 147069.350219134, 146737.055992897, 146439.293575421, 145847.820087312, 145552.070934744, -416970.970114222, -416700.339731267, -416399.393767073, -416723.895557932, -417374.320542653, -417677.416117332, -417948.293090521, -417296.71799, -416970.970114222)))
"6","06037106408",0.00890393077980591,list(list(c(143466.553731268, 143544.820728789, 143871.504397819, 143792.957669538, 143658.200969512, 143523.531609433, 143197.218105762, 143466.553731268, -409979.468841578, -409892.619624266, -410181.986330868, -410274.169642855, -410423.653000872, -410573.132563568, -410278.420983694, -409979.468841578)))
"7","06037108101",0.0186611076381817,list(list(c(133656.761791434, 133757.682216802, 133938.543798193, 134121.671471028, 134201.025606044, 134606.03429197, 134880.923247346, 134735.564226864, 134739.850989496, 134752.883972045, 134561.450297364, 133848.062984802, 133789.867904866, 133777.514940637, 133738.554980393, 133714.293985862, 133656.761791434, -413892.880952092, -413827.860441624, -413416.941630944, -413424.116103369, -413693.328288907, -413670.666908158, -413854.404237624, -414481.403992705, -414568.226077736, -414625.173548174, 
-414672.181645655, -414732.532508447, -414744.299687992, -414719.299305792, -414580.298539134, -414030.488677158, -413892.880952092)))
"8","06037109603",0.00453363416311365,list(list(c(140686.640175057, 141123.115592645, 141132.230689952, 141927.74204321, 141928.598088876, 141931.063374359, 141934.288696191, 141138.889964056, 140693.532819978, 140686.640175057, -416486.468419426, -416482.862906071, -416482.715539164, -416476.253688194, -416579.883562598, -416878.789786282, -417281.103989834, -417287.674442878, -417291.312298186, -416486.468419426)))
"9","06037111400",0.00832743869590625,list(list(c(137910.031697912, 137904.43960885, 137901.482327475, 137897.979337689, 138702.714029107, 139102.594775278, 139172.940033914, 139040.284033076, 138916.518157407, 138913.770489209, 138443.551597844, 137910.804795895, 137910.031697912, -417213.221057102, -416509.44851977, -416106.573572756, -415704.149596894, -415697.72384828, -415694.467295659, -415693.900774353, -416500.085917379, -417027.37345416, -417306.164838494, -417310.083480875, -417314.631894762, -417213.221057102)))
"10","06037115103",0.00710921972411871,list(list(c(135018.834482494, 135619.062895825, 135609.40341208, 135594.687794037, 135972.335582394, 135984.618369616, 136003.417421338, 136021.899042486, 135855.276481953, 135639.674810044, 135043.704088858, 135029.557550796, 135022.777182174, 135018.834482494, -417991.673885714, -417982.481769541, -417378.425847995, -416573.374044241, -416559.399188972, -417330.200453609, -418134.960855858, -418925.183811771, -418985.81204742, -418989.163906617, -418998.1795563, -418595.709947133, -418193.013924805, 
-417991.673885714)))
"11","06037117101",0.00354965578572856,list(list(c(141145.457672983, 141739.597004552, 141940.653474801, 142189.048897065, 142051.650031023, 141746.308496517, 141152.020507903, 141145.457672983, -418092.739702069, -418087.774959172, -418086.17309098, -418084.128659781, -418890.200282417, -418892.72122044, -418897.577006175, -418092.739702069)))
"12","06037117405",0.000919938596275676,list(list(c(140650.579004376, 141152.020507903, 141155.301442714, 140653.894015725, 140650.579004376, -418901.673999472, -418897.577006175, -419299.993374823, -419307.640514218, -418901.673999472)))
"13","06037120030",0.00102487353918913,list(list(c(142307.626412073, 142908.16914146, 142927.046711764, 142316.154513006, 142307.626412073, -420833.232604504, -420819.542753579, -421488.895508809, -421345.298602887, -420833.232604504)))
"14","06037120107",0.000592065764648049,list(list(c(141926.62481903, 142449.485173794, 142455.375952099, 141882.975991713, 141926.62481903, -419705.383126265, -419701.086136176, -420073.496990326, -420086.588406779, -419705.383126265)))
"15","06037121020",0.00318519231344861,list(list(c(146629.232812938, 147122.075011558, 147725.46543813, 147732.359352384, 147739.253249179, 146934.592684248, 146919.423112493, 146881.933094673, 146830.535586615, 146629.232812938, -421004.423376361, -420996.357118485, -420986.72677192, -421388.8542662, -421790.980226572, -421803.554889803, -421953.610115673, -422031.359825271, -421830.049511367, -421004.423376361)))
"16","06037121222",0.0105592307450943,list(list(c(146997.518638434, 147936.535789022, 147956.312848842, 148498.266754011, 149251.814619431, 148622.618093389, 148511.487811563, 148403.291369972, 148005.855639475, 147723.235040329, 147562.296918496, 147068.739333548, 146997.518638434, -419224.347917691, -418368.806362216, -418350.827504703, -418948.059845547, -419727.842990012, -419764.429319662, -419747.122959467, -419712.676633224, -419496.602880361, -419362.459463386, -419324.900039983, -419235.687800594, -419224.347917691)))
"17","06037123010",0.00403484192300452,list(list(c(149348.298573998, 149748.601537052, 150152.497200341, 150159.861170522, 150167.32301345, 150176.418747616, 150176.756283666, 149368.809249123, 149362.700837565, 149355.452689862, 149348.298573998, -421765.83510172, -421759.536070007, -421753.15692699, -422154.71843121, -422556.609608862, -423091.071268969, -423110.705802806, -422933.036922783, -422570.404758532, -422168.066021612, -421765.83510172)))
"18","06037123304",0.00339525513799181,list(list(c(146558.70582848, 147031.65737645, 147130.600355063, 147214.302410992, 147230.78879873, 147282.998986051, 146968.674880213, 146617.67897296, 146585.378075804, 146577.572210242, 146563.88472098, 146558.70582848, -422314.861502154, -422418.3197318, -422678.746773806, -423281.41312502, -423411.95890749, -423813.535251614, -423818.606652917, -423824.504173066, -423607.895535529, -423422.832260706, -422618.034601136, -422314.861502154)))
