"","GEOID","Probs"
"1","06037101210",0.0112443074636757
"2","06037102103",0.00471620689754569
"3","06037104105",0.0176288026315792
"4","06037104404",0.00231252700128295
"5","06037104810",0.00481489950073249
"6","06037106408",0.00890393077980591
"7","06037108101",0.0186611076381817
"8","06037109603",0.00453363416311365
"9","06037111400",0.00832743869590625
"10","06037115103",0.00710921972411871
"11","06037117101",0.00354965578572856
"12","06037117405",0.000919938596275676
"13","06037120030",0.00102487353918913
"14","06037120107",0.000592065764648049
"15","06037121020",0.00318519231344861
"16","06037121222",0.0105592307450943
"17","06037123010",0.00403484192300452
"18","06037123304",0.00339525513799181
"19","06037124102",0.00229290454911039
"20","06037127220",0.00187082162380972
"21","06037127910",0.00223780149676157
"22","06037128702",0.00935450686916318
"23","06037134104",0.00188490755377742
"24","06037134901",0.00667991230871055
"25","06037137103",0.00910772517910786
"26","06037139200",0.0117316279501336
"27","06037141101",0.00369320223755692
"28","06037141303",0.00268778311285544
"29","06037141400",0.0201176358902313
"30","06037183401",0.00342570648469688
"31","06037185320",0.00196949378258153
"32","06037188300",0.0035505642243332
"33","06037189101",0.00488048651051471
"34","06037189904",0.00269813285140646
"35","06037190510",0.00393674533496238
"36","06037191810",0.00059471930939261
"37","06037192620",0.000358320566652653
"38","06037195902",0.000804423211524334
"39","06037199201",0.000822140932559771
"40","06037203100",0.00137685214546704
"41","06037204120",0.000211278290789842
"42","06037208302",0.00103664790352935
"43","06037208903",0.000376854132581831
"44","06037209510",0.000431597055021898
"45","06037211202",0.000263424483500755
"46","06037211910",0.000202990737855412
"47","06037212410",0.00023063414671449
"48","06037212501",0.000117057028783931
"49","06037213202",0.000497673063533979
"50","06037215102",0.000564969342955554
"51","06037216402",0.000488977688334418
"52","06037218600",0.00142755566557515
"53","06037220100",0.00357620412519792
"54","06037224310",0.0000810310332173783
"55","06037224320",0.000138460159676375
"56","06037224700",0.00030245479465075
"57","06037228210",0.000199150976486813
"58","06037231710",0.00048173692308645
"59","06037232120",0.000527272369292326
"60","06037234902",0.000855736101610398
"61","06037237201",0.000866323080183835
"62","06037237900",0.00187265390315257
"63","06037239501",0.000485201221437859
"64","06037240600",0.00159560297011273
"65","06037264102",0.00857145619881396
"66","06037265201",0.00481888319095039
"67","06037267403",0.00131236504644284
"68","06037270300",0.00356114610212766
"69","06037271902",0.00558736473783209
"70","06037273502",0.00737377580977954
"71","06037275400",0.00315344476321051
"72","06037277400",0.00045029429528311
"73","06037291120",0.00146904398154257
"74","06037293201",0.00197233565530973
"75","06037293304",0.00151193386659233
"76","06037294410",0.00161231972014274
"77","06037296210",0.00196967361666177
"78","06037300200",0.0371426698381052
"79","06037302301",0.00309570872614145
"80","06037310703",0.00816600730263277
"81","06037400302",0.00708343191666048
"82","06037400602",0.0167202352506387
"83","06037401001",0.02165766311663
"84","06037401701",0.0123680335639173
"85","06037402502",0.0104306060754199
"86","06037402803",0.00298565548840019
"87","06037403702",0.00459753602367424
"88","06037405002",0.00158675627156894
"89","06037405702",0.00240549493485785
"90","06037406601",0.00294167011650984
"91","06037407601",0.0013951169953002
"92","06037408136",0.00441147576098154
"93","06037408501",0.00272862995963743
"94","06037408504",0.0147652127704545
"95","06037408629",0.0324257171355381
"96","06037408722",0.0294027396776913
"97","06037430723",0.000278275368506944
"98","06037431800",0.000853904418333387
"99","06037432602",0.000717941110767419
"100","06037433402",0.000146471640730407
"101","06037461501",0.00451410667021602
"102","06037462800",0.0034064868608391
"103","06037480304",0.0017946640171042
"104","06037481101",0.00116854532742006
"105","06037481800",0.00107981782908137
"106","06037482102",0.00143797309046974
"107","06037482502",0.00052708366102074
"108","06037500402",0.00344551013258266
"109","06037500600",0.00304741302751363
"110","06037501804",0.00139647931865059
"111","06037502401",0.00168179229402623
"112","06037503701",0.00683950424777628
"113","06037530601",0.000844154036274309
"114","06037531602",0.00050043439204441
"115","06037532500",0.000681455575375261
"116","06037533105",0.000128251364311103
"117","06037533501",0.000282812406635617
"118","06037534201",0.000542401332813408
"119","06037534700",0.000371104992855868
"120","06037535606",0.00035736256375818
"121","06037540000",0.00325081939100452
"122","06037541001",0.00398607426351556
"123","06037542105",0.00126135874464682
"124","06037543201",0.00181322569801785
"125","06037543503",0.00317096846941415
"126","06037544001",0.00416563551365714
"127","06037551102",0.00403836829962148
"128","06037551600",0.00172007480772122
"129","06037554101",0.00113188322636651
"130","06037554403",0.0013413416752744
"131","06037554511",0.00415933694064542
"132","06037554700",0.00185952424765784
"133","06037555104",0.00316249929125367
"134","06037570002",0.00205491871218278
"135","06037570601",0.00231142217806395
"136","06037572202",0.00285440252328949
"137","06037573300",0.00175888776540116
"138","06037574700",0.00261110368152305
"139","06037575401",0.00163945193988394
"140","06037575803",0.000367482867427344
"141","06037577100",0.00869632025064812
"142","06037600400",0.00245699487611194
"143","06037601211",0.00179816786317274
"144","06037601600",0.000650636562453776
"145","06037602003",0.00133008011276162
"146","06037602105",0.000451307242602545
"147","06037602506",0.00056652253561249
"148","06037602801",0.00311994644171864
"149","06037603500",0.00138972472719618
"150","06037620501",0.0039414357778695
"151","06037621102",0.00126993185667155
"152","06037650003",0.000875541296950331
"153","06037650605",0.00110441493008933
"154","06037670406",0.0272062336171513
"155","06037700101",0.00441413036762896
"156","06037700501",0.00151648327928161
"157","06037702801",0.00729085074914069
"158","06037900103",0.238788218603398
"159","06037900602",0.00422619772728623
"160","06037900701",0.0015551241926396
"161","06037900805",0.00241677934973496
"162","06037910208",0.00716990459269396
"163","06037910404",0.00918796572955139
"164","06037910606",0.00160988990370456
"165","06037920016",0.0311963683945551
"166","06037920039",0.011712138492436
"167","06037920111",0.00981501151860496
"168","06037920322",0.0244188657118788
"169","06037980025",0.00617571258988309
"170","06059001101",0.0100159446355675
"171","06059001202",0.00482742982422111
"172","06059001507",0.0203031590669249
"173","06059011601",0.00782959063166286
"174","06059011721",0.00363491447798991
"175","06059021820",0.00999121660084417
"176","06059021919",0.0361844686834746
"177","06059032015",0.100898185063932
"178","06059032033",0.0178222254118563
"179","06059042307",0.0989612174808251
"180","06059042336",0.0790925031601512
"181","06059052424",0.0610258218320425
"182","06059052522",0.00469129722847956
"183","06059062627",0.0127113236540128
"184","06059062635",0.0435391037678459
"185","06059062702",0.221055986990833
"186","06059063006",0.0145011753500748
"187","06059063201",0.007210518994354
"188","06059063605",0.0120612207577478
"189","06059063903",0.00598971341855568
"190","06059074408",0.00132066611792833
"191","06059074805",0.00168267536185709
"192","06059075512",0.00175881640624503
"193","06059076101",0.00936220051003602
"194","06059086404",0.00303341889377562
"195","06059086803",0.00788763922403946
"196","06059087300",0.00481549897413791
"197","06059087803",0.00386128486558651
"198","06059088501",0.00547173079448712
"199","06059088702",0.00512445230119346
"200","06059088802",0.00411033468464383
"201","06059088902",0.00395852499611373
"202","06059089106",0.00250987297972939
"203","06059099231",0.00851466486715886
"204","06059099234",0.00536765646230672
"205","06059099408",0.0224735813152509
"206","06059099904",0.00450111963068552
"207","06059110014",0.00311897789630448
"208","06059110604",0.0221421916331674
"209","06073000800",0.00020036283930199
"210","06073002705",0.000631957227156202
"211","06073003101",0.000476977572787586
"212","06073003212",0.000685803804415401
"213","06073005200",0.000530717755010515
"214","06073005700",0.0000931272301631254
"215","06073005900",0.000145665716305092
"216","06073006600",0.000203977835671469
"217","06073007502",0.00100032140814437
"218","06073008307",0.00234834613800257
"219","06073008345",0.00232017675194407
"220","06073008701",0.00114134361398851
"221","06073009301",0.00156983295152356
"222","06073010009",0.0120629054405466
"223","06073010401",0.00218820424937984
"224","06073011601",0.000798763787045096
"225","06073013103",0.00238100334823112
"226","06073013302",0.000637055354881739
"227","06073013416",0.00385108859918645
"228","06073013802",0.000777147561604427
"229","06073014001",0.00204629384667527
"230","06073015301",0.00111722144465208
"231","06073015701",0.00163836493598788
"232","06073016302",0.00165776404560258
"233","06073017014",0.00723083573364557
"234","06073017035",0.00955523283976608
"235","06073017200",0.0236777584653858
"236","06073018509",0.00345487517710888
"237","06073018515",0.0111207926914183
"238","06073018905",0.0149678807955676
"239","06073019808",0.00865084232858909
"240","06073020024",0.00314620593154833
"241","06073020206",0.00269816866167056
"242","06073020601",0.00471149316869669
"243","06073021202",1.62403752788454
"244","06073021800",0.0015095940473236
"245","06083000801",0.0139285145596879
"246","06083001604",0.0217957686770599
"247","06083002102",0.00694539826432632
"248","06083002210",0.0286930215831504
"249","06083002702",0.0186546593647567
"250","06083002913",0.0277039208035252
"251","06083003102",9.84602421484368
"252","06111001301",0.141041359350951
"253","06111001601",0.0443860924153203
"254","06111003608",0.0116851260142307
"255","06111004000",0.00725808015416916
"256","06111004505",0.00313939367013449
"257","06111004711",0.00459919020990766
"258","06111005306",0.0788579841570037
"259","06111005909",0.0334506114060385
"260","06111007800",0.0488628085058988
"261","06111008005",0.0122435225661045
"262","06111008201",0.0713009681794292
"263","06111008600",0.00730112492394239
"264","06037106406",0.0643277799341796
"265","06037102105",0.00193994083537493
"266","06037104401",0.00297945720335717
"267","06037104500",0.0022755883553582
"268","06037104821",0.0022791642848821
"269","06037106020",0.0799355431956162
"270","06037107010",0.0109380759760558
"271","06037107020",0.010365505344434
"272","06037111100",0.00484903990951354
"273","06037113101",0.00859472419998129
"274","06037113212",0.0100554922269809
"275","06037113401",0.00755006070035843
"276","06037115404",0.00381651097101614
"277","06037117407",0.000731557569455365
"278","06037119310",0.00199139961720313
"279","06037121221",0.0019800103800763
"280","06037122120",0.00285896638244497
"281","06037122420",0.00342617309203602
"282","06037123303",0.0024437798600186
"283","06037123602",0.00427998660884343
"284","06037124000",0.00653341244176563
"285","06037124400",0.00469490132883655
"286","06037700502",0.00122180932943732
"287","06037700901",0.00225010297131223
"288","06037701501",0.00274022487792274
"289","06037701702",0.00268625765839746
"290","06037702202",0.00526138830937271
"291","06037702700",0.00735401622686153
"292","06037800324",0.0669370576308774
"293","06037900508",0.0121959690585475
"294","06037900608",0.00197293741101164
"295","06037900705",0.0122554402997784
"296","06037901008",0.00547128097535195
"297","06037910302",0.0196641464466915
"298","06037127102",0.00292131452209732
"299","06037127300",0.0030582194648595
"300","06037127605",0.00186241383661043
"301","06037127804",0.00183252181636382
"302","06037127920",0.00250935816107243
"303","06037128303",0.00359073953642664
"304","06037131200",0.00449898321651941
"305","06037131702",0.0028617846910572
"306","06037132300",0.00509258522454679
"307","06037133000",0.00294490381277028
"308","06037134201",0.00427808494006009
"309","06037134305",0.00103884939738089
"310","06037134903",0.00164782534641402
"311","06037137104",0.0304789236122986
"312","06037137502",0.0250710501020625
"313","06037910602",0.00236038950309865
"314","06037910712",0.00513245059784185
"315","06037910713",0.0053543016151587
"316","06037920015",0.0864217492690162
"317","06037920017",0.0132583650732534
"318","06037920035",0.0236191572224403
"319","06037920045",0.0164544751065011
"320","06037920110",0.0149434771469931
"321","06037920330",0.131285145532391
"322","06037930301",13.403027744635
"323","06037980026",0.315491558797111
"324","06037181300",0.0160565278055743
"325","06037183103",0.00388329610471376
